Name;Number;Istitution;City;Country;Adress;Year;Site;Latitude;Longitude
Emory Center for Digital Scholarship;53;Emory University;Atlanta;Georgia, USA;540 Asbury Cir, Atlanta, GA 30322, United States;2013;https://digitalscholarship.emory.edu/;33.7904621;-84.3228079
Humanities and Critical Code Studies (Haccs) Lab;54;University of Southern California;Los Angeles;California, USA;Los Angeles, CA 90007, United States;2006;https://haccslab.com/;34.0536909;-118.242766
The Institute for Advance Technology in the Humanities (IATH);55;University of Virginia;Charlottesville;Virginia, USA;160 McCormick Rd, Charlottesville, VA 22904, United States;1992;http://www.iath.virginia.edu/;38.034101;-78.511122
Institute for Digital Arts and Humanities;56;Indiana University Bloomington;Bloomington;Indiana, USA;107 S Indiana Ave, Bloomington, IN 47405, United States;2007;https://idah.indiana.edu/index.html;39.1660593;-86.5265353
Humanities Computing and Media Centre;57;University of Victoria;Victoria;Canada;3800 Finnerty Rd, Victoria, BC V8P 5C2, Canada;—;https://www.uvic.ca/humanities/hcmc/;48.464769;-123.308941
Ancient World Mapping Center;58; University of North Carolina at Chapel Hill;Chapel Hill;North Carolina, USA;Walter Royal Davis Library Chapel Hill NC 27599-8110 U.S.A.;2001;https://awmc.unc.edu/;35.9129784;-79.0478699
Center for Geographic Analysis;59;Institute for Quantitative Social Science (IQSS);Cambridge;Massachusetts,USA;737 Cambridge Street, Cambridge MA 02138;2008;https://gis.harvard.edu/;42.3723036;-71.0892069
China Biographical Database Project Office;60;Harvard University ;Cambridge;Massachusetts, USA;1737 Cambridge St, Cambridge, MA 02138, USA;2004;http://isites.harvard.edu/icb/icb.do?keyword=k16229;42.3755807;-71.1139584
Humanities and Social Sciences Online;61;Michigan State University;Lansing;Michigan, USA;141h Old Horticulture 506 East Circle Drive East Lansing, MI 48824, USA;1993;http://www.h-net.org/;42.696439;-84.278583
Interdisciplinary Research & Informatics Scholarship Center;62;Southern Illinois University;Edwardsville;Illinois, USA;Edwardsville Peck Hall 2226;2009;https://iris.siue.edu;38.7933106;-89.9959479
The Humanities Research Institute (HRI);63;University of Illinois at Urbana-Champaign;Urbana;Illinois, USA;919 W Illinois St, Urbana, IL 61801, USA;2009;https://hri.illinois.edu/;40.108677;-88.2210959
Centre for Digital Humanities;64;Toronto Metropolitan University;Toronto;Canada;350 Victoria St, Toronto, ON M5B 0A1, Canada;—;https://www.torontomu.ca/centre-digital-humanities/;43.657235;-79.380589
Digital Scholarship Lab;65;University of Richmond;Richmond;Virginia, USA;410 Westhampton Way, Richmond, VA 23173, United States;—;https://dsl.richmond.edu/;37.5752406;-77.5406636
Maryland Institute for Technology in the Humanities (MITH);66;University of Maryland;College Park;Maryland, USA;College Park, MD 20742, USA;1997;http://mith.umd.edu/;38.98106002807617;-76.93655395507812
MATRIX Center for Digital Humanities and Social Sciences;67;Michigan State University;Lansing;Michigan, USA;288 Farm Lane 409 Natural Science Building East Lansing, MI 48824-1120, United States;--;https://matrix.msu.edu;42.645134;-84.043224
Office of Digital Humanities;68;Brigham Young University;Provo;Utah, USA;Provo, UT 84602, USA;--;https://odh.byu.edu;40.23368453979492;-111.66484832763672
Research Libraries Group Luogo;69;OCLC;Dublin;Ohio, USA;6565 Kilgour Pl, Dublin, OH 43017, USA;1977;http://www.oclc.org/research.html;40.1020321;-83.1243132
The Medici Archive Project;70;The Medici Archive Project;New York City;New York, USa;175 W Main St, Babylon, NY 11702, USA;1990;http://www.medici.org/;40.6955543;-73.3270039
Center for Digital Humanities;71;University of Arizona;Tucson;Arizona, USA;Modern Languages Building, 412, University of Arizona, Tucson, AZ 85721;2017;https://digitalhumanities.arizona.edu/;32.22221755981445;-110.9746322631836
University of California Humanities Research Institute (UCHRI);72;Univerity of California ;Irvine;California, USA;4000 Humanities Gateway Irvine, CA 92697;1987;https://uchri.org;33.640302;-117.769442
SECRIT (Seminario de Edición y Crítica Textual);73;IIBICRIT. Instituto de Investigaciones Bibliográficas y Crítica Textual;Buenos Aires;Argentina;Marcelo T. de Alvear 1694;1978;https://iibicrit.conicet.gov.ar;-34.61315;-58.37723
Center for Evolving Humanities;74;University of Tokyo;Tokyo;Japan;7 Chome-3-1 Hongo, Bunkyo City, Tokyo 113-8654, Japan;—;https://dh.l.u-tokyo.ac.jp/home;35.6895;139.69171
Digital Humanities Center - University of Balamand;75;University of Balamand;Balamand;Lebanon;Atef Daniel, Lebanon;2012;https://www.balamand.edu.lb/AboutUOB/Pages/Centers/DHC.aspx;34.3663321;35.7824931
Research Center for Digital Humanities;76;National Taiwan University;Taipei;Taiwan;No. 1, Section 4, Roosevelt Rd, Da’an District, Taipei City, Taiwan 10617;2007;www.digital.ntu.edu.tw/en/;25.0532452;121.5221747
Centre for Literary and Linguistic Computing;77;The University of Newcastle;Callaghan;Australia;University Dr, Callaghan NSW 2308, Australia;—;https://www.newcastle.edu.au/research/centre/cllc;-32.8959187;151.7124578
UC Digital Humanities;78;University of Canterbury;Christchurch;New Zealand;Private Bag 4800 Christchurch 8140 New Zealand;--;http://dh.canterbury.ac.nz/;-43.5342631;172.625237
Center for Digital Humanities CEDHUL;79;University of Lagos ;Lagos ;Nigeria ;G99X+W6M, Akoka, Lagos 101245, Lagos, Nigeria;2017;https://www.cedhul.com.ng;6.45407;3.39467
